node_id,node_type,group_id,included_analytes,n_realizations,unit_note,measured_group_load_mean,measured_group_load_p05,measured_group_load_p50,measured_group_load_p95,measured_group_load_cv,F_comp_adjusted_group_load_mean,F_comp_adjusted_group_load_p05,F_comp_adjusted_group_load_p50,F_comp_adjusted_group_load_p95,F_comp_adjusted_group_load_cv
SW02,headwater pond / drainage node,G5,PFBA;PFBS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.7055470591708214,0.19343355395201678,0.6176970340723396,1.5106081117007344,0.5899682378084562,0.823894999455946,0.21849686151967407,0.7168380301682293,1.7806125611694497,0.6013222397618246
SW02,headwater pond / drainage node,G6,6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.6663135979388257,0.17594057584589223,0.5718993595759578,1.4884788062604053,0.6214019853953373,1.5493968450887707,0.35402982103647823,1.274094013308,3.713610764587232,0.6982762014459665
SW03,mid-catchment creek,G1,PFOS,10000,g/d if flow is m3/d; g/event if flow is an event volume,1.0423605176517017,0.27012095871077574,0.9005186068324071,2.314689933648463,0.6168417300533153,1.2164367968546208,0.3117602717325847,1.0463127818825844,2.720926570279958,0.628015633826027
SW03,mid-catchment creek,G2,PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.31382497727575026,0.08121029962106181,0.272392069261177,0.6920807889352677,0.6118701303526158,0.36659911941048456,0.09199444481659241,0.3151630922425589,0.815304875697089,0.6233971732604697
SW03,mid-catchment creek,G3,PFOS;PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,1.3561854949274519,0.372415153908938,1.1892529712276558,2.917622361036961,0.588375034111406,1.8973773942901098,0.5024276901193863,1.645076222430986,4.171601003579714,0.6099043402810155
SW03,mid-catchment creek,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,2.54024523152334,0.7286014220191224,2.2699646288794666,5.251450855521036,0.5576626953133488,4.508386030661984,1.171854557326088,3.870813396321614,9.919799278509934,0.6242654256729407
SW03,mid-catchment creek,G5,PFBA;PFBS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.8360957510890876,0.2260998834432309,0.735541103107688,1.7939771884031308,0.5864229469275619,0.9769890118103697,0.2586657963212621,0.8573022895881541,2.1031058897253776,0.5987653456062282
SW03,mid-catchment creek,G6,6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.17380282192636717,0.04526782785194085,0.1505564915922401,0.3850405546049653,0.6119121203656774,0.40398443077407276,0.09300516116239109,0.3348283169060814,0.9540933810923639,0.6896231387207981
SW04,receptor creek / wetland,G1,PFOS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.5391816638722924,0.13900936519228627,0.4707758067808427,1.1732181230530816,0.5974278043890374,0.6287101881929958,0.15973005895255488,0.5481276457971322,1.377665290120224,0.608971087769991
SW04,receptor creek / wetland,G2,PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.1439772045120345,0.036434959757185685,0.1266541052121041,0.31032557291186214,0.596572391250164,0.16813092364225218,0.04252744141668167,0.1469130742112736,0.3652728650208788,0.6090040796318623
SW04,receptor creek / wetland,G3,PFOS;PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.6831588683843269,0.18282268532348123,0.6076011869894719,1.4363429458374126,0.5716522183222962,0.9551426753848385,0.24485357114644152,0.8461151885787007,2.0621521142221786,0.5896392090920217
SW04,receptor creek / wetland,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,1.6993951100996303,0.4773395151299849,1.5449787931805954,3.3757695078718393,0.5356004694680349,3.020138376061781,0.770735991023518,2.6426170905302446,6.546698491329707,0.6015866481920867
SW04,receptor creek / wetland,G5,PFBA;PFBS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.8367046994214962,0.22813355233529908,0.7491486638568338,1.7335930556058146,0.5619188697335132,0.9771789760740256,0.2584478073226634,0.8666885100869703,2.0348083254032017,0.5744786855797709
SW04,receptor creek / wetland,G6,6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.06013565319349315,0.015370179135885849,0.052755670911135394,0.12922435428864243,0.5954850860339761,0.13991135460709578,0.03211775588007014,0.11749320080232116,0.32556171596418143,0.6698594715879941
SW05,stormwater drain outlet,G1,PFOS,10000,g/d if flow is m3/d; g/event if flow is an event volume,3.270660122927565,0.2278511767688074,2.7268189424389626,8.176864973483497,0.773965771719172,3.816252097579058,0.26142620764193825,3.155859922165509,9.60571731299111,0.7836885662772995
SW05,stormwater drain outlet,G2,PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.9354792337647239,0.06555856071142042,0.7745655262991558,2.3698795222832185,0.7791936207525196,1.092106399554179,0.07653349739030121,0.8968382618704377,2.785673596760481,0.7894087434756415
SW05,stormwater drain outlet,G3,PFOS;PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,4.2061393566922884,0.3010158297923133,3.568493270902741,10.248517138828246,0.7502945934911733,5.903780218247404,0.4186438790709311,4.89042254801691,14.715517778495041,0.7763729434883881
SW05,stormwater drain outlet,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,7.233456192025958,0.5303835944434323,6.28802237602668,16.954740415988503,0.7239308254635609,12.850396344206098,0.9000070213737443,10.69658651752385,32.17061457000787,0.779242382241883
SW05,stormwater drain outlet,G5,PFBA;PFBS,10000,g/d if flow is m3/d; g/event if flow is an event volume,1.924840204928515,0.1414771572866688,1.6346006852857988,4.680107233187672,0.7503067728933034,2.2497124060224696,0.16300863100360982,1.904389780538085,5.566356881410195,0.7631856022536786
SW05,stormwater drain outlet,G6,6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.6969366108630487,0.04994389395238092,0.5835011903721472,1.7424924378897224,0.7741094578783033,1.616154536685722,0.10596190047088559,1.292639367174614,4.28992870930531,0.839790060791974
